模型名称,真实值,预测值
人工神经网络模型（总价预测）,1721.0,[2507.5183]
人工神经网络模型（总价预测）,238.00000000000009,[161.73134]
人工神经网络模型（均价预测）,55000.00000000005,[68774.67]
人工神经网络模型（均价预测）,23799.999999999996,[10383.897]
随机森林模型（总价预测）,1721.0,1645.666620341869
随机森林模型（总价预测）,238.00000000000009,239.71912837037
随机森林模型（均价预测）,55000.00000000005,55400.594949895356
随机森林模型（均价预测）,23799.999999999996,23999.99999999956
决策树模型（总价预测）,1721.0,1534.9999999999998
决策树模型（总价预测）,238.00000000000009,238.50000000000006
决策树模型（均价预测）,55000.00000000005,55000.00000000005
决策树模型（均价预测）,23799.999999999996,24000.00000000003
梯度提升树模型（总价预测）,1721.0,1678.0858419426293
梯度提升树模型（总价预测）,238.00000000000009,239.62041530361572
梯度提升树模型（均价预测）,55000.00000000005,55007.54347335854
梯度提升树模型（均价预测）,23799.999999999996,23998.226331057464
